nctId,interventions_found,arms_found,drugs_extracted,has_resultsSection,best_guess_interventions_type,best_guess_arms_type
NCT02376010,2,2,2,1,"dict_keys(['type', 'name', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02873052,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT04625660,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06342609,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04807400,3,3,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02501018,2,3,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03669042,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04124315,2,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT02910271,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT05456802,1,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04274049,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05403593,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04706273,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04275323,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04018846,1,0,0,0,"dict_keys(['type', 'name', 'description', 'otherNames'])",
NCT03414515,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04394715,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03006770,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04661644,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04631055,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05134545,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03457662,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02106429,1,2,1,1,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT02902211,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01799811,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT03253328,2,2,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00653835,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT00552097,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT00166530,3,2,3,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00650663,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT00653796,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT00651274,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT04496544,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04250675,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04853719,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04828447,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03507777,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06322641,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05659888,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT01397721,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'url'])"
NCT06507852,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT04141579,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03689946,6,1,4,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04753606,1,3,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04470687,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03871725,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04710420,1,4,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT03085524,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05947994,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05266586,4,3,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03586739,6,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT03551496,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05189847,1,2,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'url'])"
NCT02607033,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02316782,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04235023,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06436001,0,2,0,0,,"dict_keys(['label', 'description'])"
NCT03363165,2,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03190382,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03171259,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT04525794,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT04865588,3,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00496834,4,2,4,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05742841,1,1,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03124875,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02991703,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT03738631,0,2,0,0,,dict_keys(['label'])
NCT05974345,4,1,3,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT01674257,3,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04770389,3,4,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02939924,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05203887,0,0,0,0,,
NCT02936622,3,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03193619,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05639244,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05619042,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT02080520,2,2,0,1,"dict_keys(['type', 'name', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05733325,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT04103034,3,18,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00362518,4,4,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00534014,1,4,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05752968,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT01930071,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03490968,2,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT06167265,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06094686,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04271280,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT02163408,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04107298,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05536960,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06187532,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT04400409,4,4,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02931188,3,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT03421561,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06173960,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04186676,2,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
